service_id,category,species,price_eur,duration_min,requires_appointment,availability,slots_this_week,special_offer,service_name,description
MVC-028,Vaccination,Dog,85,20,Yes,Mon-Sat,5,,Puppy/kitten primary course,"Quick, low-stress vaccination to protect your dog."
MVC-029,Vaccination,Cat,85,20,Yes,Mon-Sat,0,,Puppy/kitten primary course,"Quick, low-stress vaccination to protect your cat."
MVC-082,Behaviour,Dog,85,60,Yes,Sat,3,15% off this month,Puppy socialisation class,Support with training and behaviour for your dog.
MVC-008,Consultation,Dog,75,40,Yes,Mon-Fri,7,,Second-opinion consult,A friendly one-to-one appointment with a Meadow vet to check your pet over and answer your questions.
MVC-009,Consultation,Cat,75,40,Yes,Mon-Fri,0,,Second-opinion consult,A friendly one-to-one appointment with a Meadow vet to check your pet over and answer your questions.
MVC-073,Grooming,Dog,70,90,Yes,Tue-Sat,7,,Full groom (medium dog),"A calm, gentle grooming session for your dog."
MVC-090,End-of-life,Dog,70,45,Yes,Mon-Fri,3,,Quality-of-life consult,Compassionate guidance and support for you and your dog.
MVC-091,End-of-life,Cat,70,45,Yes,Mon-Fri,3,,Quality-of-life consult,Compassionate guidance and support for you and your cat.
MVC-032,Vaccination,Dog,62,15,Yes,Mon-Fri,6,,Rabies vaccine (travel),"Quick, low-stress vaccination to protect your dog."
MVC-033,Vaccination,Cat,62,15,Yes,Mon-Fri,0,,Rabies vaccine (travel),"Quick, low-stress vaccination to protect your cat."
MVC-014,Preventive,Dog,60,30,Yes,Mon-Sat,6,Free nail trim included,Annual wellness check,Routine care to keep dog healthy and catch problems early.
MVC-015,Preventive,Cat,60,30,Yes,Mon-Sat,2,Free nail trim included,Annual wellness check,Routine care to keep cat healthy and catch problems early.
MVC-016,Preventive,Rabbit,60,30,Yes,Mon-Sat,4,,Annual wellness check,Routine care to keep rabbit healthy and catch problems early.
MVC-072,Grooming,Dog,60,80,Yes,Tue-Sat,3,,Full groom (small dog),"A calm, gentle grooming session for your dog."
MVC-003,Consultation,Rabbit,55,25,Yes,Mon-Sat,5,20% off in July,General consultation,A friendly one-to-one appointment with a Meadow vet to check your pet over and answer your questions.
MVC-026,Vaccination,Dog,55,20,Yes,Mon-Sat,4,,Core annual vaccination,"Quick, low-stress vaccination to protect your dog."
MVC-027,Vaccination,Cat,55,20,Yes,Mon-Sat,3,15% off this month,Core annual vaccination,"Quick, low-stress vaccination to protect your cat."
MVC-071,Grooming,Dog,55,60,Yes,Tue-Sat,1,,Bath & brush (large dog),"A calm, gentle grooming session for your dog."
MVC-075,Grooming,Dog,55,60,Yes,Tue-Sat,0,Free nail trim included,De-shedding treatment,"A calm, gentle grooming session for your dog."
MVC-076,Grooming,Cat,55,60,Yes,Tue-Sat,2,,De-shedding treatment,"A calm, gentle grooming session for your cat."
MVC-084,Consultation,Bird,50,30,Yes,Tue-Thu,5,,Avian health check,A friendly one-to-one appointment with a Meadow vet to check your pet over and answer your questions.
MVC-030,Vaccination,Rabbit,48,20,Yes,Mon-Sat,7,Free nail trim included,Rabbit RVHD & myxomatosis vaccine,"Quick, low-stress vaccination to protect your rabbit."
MVC-021,Nutrition,Dog,45,30,Yes,Mon-Fri,6,,Prescription diet plan,Personalised diet and weight guidance for your dog.
MVC-022,Nutrition,Cat,45,30,Yes,Mon-Fri,4,,Prescription diet plan,Personalised diet and weight guidance for your cat.
MVC-039,Dental,Dog,45,20,Yes,Mon-Fri,3,,Dental check,Care for your dog's teeth and gums.
MVC-040,Dental,Cat,45,20,Yes,Mon-Fri,2,,Dental check,Care for your cat's teeth and gums.
MVC-067,Diagnostics,Dog,45,20,Yes,Mon-Sat,0,,Urine test,On-site testing to find out exactly what's going on with your dog.
MVC-068,Diagnostics,Cat,45,20,Yes,Mon-Sat,6,,Urine test,On-site testing to find out exactly what's going on with your cat.
MVC-083,Consultation,Small mammal,42,25,Yes,Mon-Fri,2,Free nail trim included,Small-mammal health check,A friendly one-to-one appointment with a Meadow vet to check your pet over and answer your questions.
MVC-010,Preventive,Dog,40,25,Yes,Mon-Sat,4,,New pet registration check,Routine care to keep dog healthy and catch problems early.
MVC-011,Preventive,Cat,40,25,Yes,Mon-Sat,7,,New pet registration check,Routine care to keep cat healthy and catch problems early.
MVC-012,Preventive,Rabbit,40,25,Yes,Mon-Sat,2,Book online & save 10%,New pet registration check,Routine care to keep rabbit healthy and catch problems early.
MVC-013,Preventive,Small mammal,40,25,Yes,Mon-Sat,3,,New pet registration check,Routine care to keep small pet healthy and catch problems early.
MVC-070,Grooming,Dog,40,45,Yes,Tue-Sat,4,,Bath & brush (medium dog),"A calm, gentle grooming session for your dog."
MVC-031,Vaccination,Dog,38,15,Yes,Mon-Sat,3,,Kennel cough vaccine,"Quick, low-stress vaccination to protect your dog."
MVC-019,Nutrition,Dog,35,25,Yes,Tue-Thu,2,,Weight & nutrition clinic,Personalised diet and weight guidance for your dog.
MVC-020,Nutrition,Cat,35,25,Yes,Tue-Thu,3,,Weight & nutrition clinic,Personalised diet and weight guidance for your cat.
MVC-069,Grooming,Dog,35,35,Yes,Tue-Sat,0,,Bath & brush (small dog),"A calm, gentle grooming session for your dog."
MVC-005,Consultation,Cat,30,20,Yes,Mon-Fri,7,,Telehealth video consult,A friendly one-to-one appointment with a Meadow vet to check your pet over and answer your questions.
MVC-006,Consultation,Rabbit,30,20,Yes,Mon-Fri,5,,Telehealth video consult,A friendly one-to-one appointment with a Meadow vet to check your pet over and answer your questions.
MVC-007,Consultation,Bird,30,20,Yes,Mon-Fri,5,Senior pet discount available,Telehealth video consult,A friendly one-to-one appointment with a Meadow vet to check your pet over and answer your questions.
MVC-034,Microchip & ID,Dog,30,15,No,Mon-Sat,5,,Microchipping,Get your dog chipped and travel-ready.
MVC-035,Microchip & ID,Cat,30,15,No,Mon-Sat,4,Book online & save 10%,Microchipping,Get your cat chipped and travel-ready.
MVC-036,Microchip & ID,Rabbit,30,15,No,Mon-Sat,3,,Microchipping,Get your rabbit chipped and travel-ready.
MVC-023,Preventive,Dog,28,15,No,Mon-Sat,0,,"Flea, tick & worm plan",Routine care to keep dog healthy and catch problems early.
MVC-024,Preventive,Cat,28,15,No,Mon-Sat,6,Senior pet discount available,"Flea, tick & worm plan",Routine care to keep cat healthy and catch problems early.
MVC-025,Preventive,Rabbit,28,15,No,Mon-Sat,4,,"Flea, tick & worm plan",Routine care to keep rabbit healthy and catch problems early.
MVC-077,Grooming,Dog,18,15,No,Mon-Sat,5,20% off in July,Nail clipping,"A calm, gentle grooming session for your dog."
MVC-078,Grooming,Cat,18,15,No,Mon-Sat,0,15% off this month,Nail clipping,"A calm, gentle grooming session for your cat."
MVC-079,Grooming,Rabbit,18,15,No,Mon-Sat,2,,Nail clipping,"A calm, gentle grooming session for your rabbit."
