client_id,segment,neighbourhood,owner_age_band,household,tech_comfort,budget_sensitivity,channel_preference,pets,n_pets,services_used,visits_last_2y,last_visit,satisfaction_prior
MVC-C037,brachy_highrisk,Ranelagh,30-44,single,high,high,walk-in,"[{""species"": ""Dog"", ""breed"": ""Boxer"", ""age_years"": 9.8, ""brachycephalic"": true, ""senior"": true}]",1,MVC-060|MVC-014|MVC-063,6,2026-05,5
MVC-C038,time_poor_professional,Ranelagh,18-29,family_with_kids,medium,high,web,"[{""species"": ""Rabbit"", ""breed"": ""Rescue rabbit"", ""age_years"": 6.4, ""brachycephalic"": false, ""senior"": true}]",1,MVC-079|MVC-006|MVC-030|MVC-016,4,2026-05,4
MVC-C039,lapsed,Milltown,30-44,couple,low,high,walk-in,"[{""species"": ""Dog"", ""breed"": ""Cavapoo"", ""age_years"": 7.7, ""brachycephalic"": false, ""senior"": false}]",1,MVC-032|MVC-092|MVC-014|MVC-023|MVC-004,2,2025-01,3
MVC-C040,brachy_highrisk,Rathmines,45-59,single,low,medium,phone,"[{""species"": ""Dog"", ""breed"": ""French Bulldog"", ""age_years"": 4.8, ""brachycephalic"": true, ""senior"": false}]",1,MVC-050|MVC-088,7,2026-06,5
MVC-C041,multi_pet,Terenure,18-29,couple,medium,low,phone,"[{""species"": ""Dog"", ""breed"": ""Terrier cross"", ""age_years"": 4.7, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Cat"", ""breed"": ""Domestic shorthair"", ""age_years"": 10.0, ""brachycephalic"": false, ""senior"": true}]",2,MVC-069|MVC-027|MVC-005|MVC-031|MVC-011|MVC-040,8,2026-04,5
MVC-C042,multi_pet,Terenure,30-44,single,low,medium,walk-in,"[{""species"": ""Dog"", ""breed"": ""Golden Retriever"", ""age_years"": 8.7, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Rabbit"", ""breed"": ""Lionhead"", ""age_years"": 8.8, ""brachycephalic"": false, ""senior"": true}, {""species"": ""Rabbit"", ""breed"": ""Lionhead"", ""age_years"": 8.1, ""brachycephalic"": false, ""senior"": true}]",3,MVC-028|MVC-010|MVC-017|MVC-077|MVC-031|MVC-030,6,2026-07,4
MVC-C043,multi_pet,Rathgar,18-29,family_with_kids,medium,medium,web,"[{""species"": ""Rabbit"", ""breed"": ""Netherland Dwarf"", ""age_years"": 5.6, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Cat"", ""breed"": ""British Shorthair"", ""age_years"": 1.0, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Rabbit"", ""breed"": ""Rescue rabbit"", ""age_years"": 5.0, ""brachycephalic"": false, ""senior"": false}]",3,MVC-015|MVC-009|MVC-029,2,2026-07,4
MVC-C044,senior_pet,Ranelagh,30-44,couple,high,medium,web,"[{""species"": ""Cat"", ""breed"": ""Ragdoll"", ""age_years"": 14.1, ""brachycephalic"": false, ""senior"": true}]",1,MVC-011|MVC-061,12,2026-07,4
MVC-C045,time_poor_professional,Clonskeagh,18-29,single,low,low,phone,"[{""species"": ""Dog"", ""breed"": ""Labrador"", ""age_years"": 5.6, ""brachycephalic"": false, ""senior"": false}]",1,MVC-074|MVC-092|MVC-031|MVC-032|MVC-023|MVC-070,6,2026-03,5
MVC-C046,multi_pet,Rathgar,60+,single,medium,high,phone,"[{""species"": ""Dog"", ""breed"": ""Jack Russell"", ""age_years"": 10.9, ""brachycephalic"": false, ""senior"": true}, {""species"": ""Rabbit"", ""breed"": ""Lionhead"", ""age_years"": 4.6, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Rabbit"", ""breed"": ""Lionhead"", ""age_years"": 9.0, ""brachycephalic"": false, ""senior"": true}]",3,MVC-075|MVC-025|MVC-042|MVC-094|MVC-017|MVC-031,6,2026-03,5
MVC-C047,time_poor_professional,Terenure,30-44,family_with_kids,low,high,web,"[{""species"": ""Dog"", ""breed"": ""Cavapoo"", ""age_years"": 5.9, ""brachycephalic"": false, ""senior"": false}]",1,MVC-004|MVC-008|MVC-026|MVC-014,8,2026-06,4
MVC-C048,senior_pet,Harold's Cross,45-59,shared_house,low,low,phone,"[{""species"": ""Dog"", ""breed"": ""Cavapoo"", ""age_years"": 11.5, ""brachycephalic"": false, ""senior"": true}]",1,MVC-019|MVC-060|MVC-017|MVC-010|MVC-001|MVC-065,8,2026-07,4
MVC-C049,multi_pet,Clonskeagh,60+,shared_house,high,medium,phone,"[{""species"": ""Rabbit"", ""breed"": ""Rescue rabbit"", ""age_years"": 4.5, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Dog"", ""breed"": ""Springer Spaniel"", ""age_years"": 5.6, ""brachycephalic"": false, ""senior"": false}]",2,MVC-073|MVC-028|MVC-031|MVC-070|MVC-045,2,2026-05,5
MVC-C050,budget_stretched,Portobello,45-59,single,low,high,phone,"[{""species"": ""Bird"", ""breed"": ""Budgie"", ""age_years"": 3.2, ""brachycephalic"": false, ""senior"": false}]",1,MVC-084|MVC-007,6,2026-06,3
MVC-C051,multi_pet,Dartry,60+,family_with_kids,medium,medium,web,"[{""species"": ""Cat"", ""breed"": ""Ragdoll"", ""age_years"": 1.3, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Rabbit"", ""breed"": ""Netherland Dwarf"", ""age_years"": 6.2, ""brachycephalic"": false, ""senior"": true}, {""species"": ""Cat"", ""breed"": ""Domestic shorthair"", ""age_years"": 9.8, ""brachycephalic"": false, ""senior"": true}]",3,MVC-076|MVC-033|MVC-040|MVC-012|MVC-025,3,2026-04,4
MVC-C052,multi_pet,Rathgar,30-44,single,high,medium,walk-in,"[{""species"": ""Rabbit"", ""breed"": ""Mini Lop"", ""age_years"": 9.6, ""brachycephalic"": false, ""senior"": true}, {""species"": ""Cat"", ""breed"": ""Ragdoll"", ""age_years"": 4.5, ""brachycephalic"": false, ""senior"": false}]",2,MVC-025|MVC-011|MVC-078|MVC-076,8,2026-03,5
MVC-C053,lapsed,Donnybrook,18-29,single,medium,high,phone,"[{""species"": ""Dog"", ""breed"": ""Greyhound (retired)"", ""age_years"": 9.5, ""brachycephalic"": false, ""senior"": true}]",1,MVC-001|MVC-008,3,2025-01,2
MVC-C054,anxious_first_timer,Dartry,18-29,single,medium,low,web,"[{""species"": ""Dog"", ""breed"": ""Golden Retriever"", ""age_years"": 1.8, ""brachycephalic"": false, ""senior"": false}]",1,MVC-014|MVC-001|MVC-092|MVC-031|MVC-017|MVC-026,7,2026-07,5
MVC-C055,brachy_highrisk,Clonskeagh,45-59,shared_house,medium,medium,phone,"[{""species"": ""Dog"", ""breed"": ""Pug"", ""age_years"": 9.7, ""brachycephalic"": true, ""senior"": true}]",1,MVC-041|MVC-023|MVC-010|MVC-014|MVC-051|MVC-060,11,2026-07,3
MVC-C056,brachy_highrisk,Clonskeagh,30-44,family_with_kids,high,low,phone,"[{""species"": ""Dog"", ""breed"": ""Pug"", ""age_years"": 5.0, ""brachycephalic"": true, ""senior"": false}]",1,MVC-010|MVC-065|MVC-085|MVC-043,10,2026-07,4
MVC-C057,new_pet,Ranelagh,30-44,shared_house,high,low,walk-in,"[{""species"": ""Cat"", ""breed"": ""British Shorthair"", ""age_years"": 1.2, ""brachycephalic"": false, ""senior"": false}]",1,MVC-005|MVC-009|MVC-027,3,2026-06,4
MVC-C058,new_pet,Terenure,30-44,single,medium,high,web,"[{""species"": ""Cat"", ""breed"": ""British Shorthair"", ""age_years"": 0.3, ""brachycephalic"": false, ""senior"": false}]",1,MVC-035|MVC-033|MVC-081|MVC-009,3,2026-07,5
MVC-C059,senior_pet,Ranelagh,30-44,family_with_kids,medium,medium,phone,"[{""species"": ""Small mammal"", ""breed"": ""Ferret"", ""age_years"": 13.3, ""brachycephalic"": false, ""senior"": true}]",1,MVC-013|MVC-083,6,2026-07,4
MVC-C060,budget_stretched,Rathmines,45-59,couple,high,high,phone,"[{""species"": ""Dog"", ""breed"": ""Cocker Spaniel"", ""age_years"": 9.0, ""brachycephalic"": false, ""senior"": true}]",1,MVC-008|MVC-026,4,2026-03,3
MVC-C061,budget_stretched,Rathmines,18-29,single,medium,high,web,"[{""species"": ""Dog"", ""breed"": ""Greyhound (retired)"", ""age_years"": 8.3, ""brachycephalic"": false, ""senior"": false}]",1,MVC-001|MVC-031|MVC-004|MVC-032|MVC-010|MVC-028,5,2026-05,3
MVC-C062,brachy_highrisk,Rathmines,30-44,couple,low,high,phone,"[{""species"": ""Dog"", ""breed"": ""Boxer"", ""age_years"": 5.4, ""brachycephalic"": true, ""senior"": false}]",1,MVC-010|MVC-088|MVC-004|MVC-065,12,2026-06,3
MVC-C063,anxious_first_timer,Rathmines,45-59,family_with_kids,medium,low,walk-in,"[{""species"": ""Cat"", ""breed"": ""Ragdoll"", ""age_years"": 3.1, ""brachycephalic"": false, ""senior"": false}]",1,MVC-081|MVC-005|MVC-018|MVC-002,5,2026-04,4
MVC-C064,budget_stretched,Rathgar,60+,shared_house,medium,high,walk-in,"[{""species"": ""Dog"", ""breed"": ""Beagle"", ""age_years"": 5.3, ""brachycephalic"": false, ""senior"": false}]",1,MVC-008|MVC-032|MVC-001,4,2026-07,3
MVC-C065,lapsed,Rathgar,30-44,couple,medium,medium,web,"[{""species"": ""Cat"", ""breed"": ""British Shorthair"", ""age_years"": 2.0, ""brachycephalic"": false, ""senior"": false}]",1,MVC-009|MVC-005|MVC-015|MVC-011|MVC-033|MVC-002,1,2025-01,3
MVC-C066,anxious_first_timer,Donnybrook,45-59,single,high,medium,phone,"[{""species"": ""Bird"", ""breed"": ""Cockatiel"", ""age_years"": 7.4, ""brachycephalic"": false, ""senior"": true}]",1,MVC-084|MVC-007,8,2026-05,4
MVC-C067,time_poor_professional,Harold's Cross,30-44,couple,medium,medium,phone,"[{""species"": ""Rabbit"", ""breed"": ""Netherland Dwarf"", ""age_years"": 10.9, ""brachycephalic"": false, ""senior"": true}]",1,MVC-030|MVC-079|MVC-006|MVC-025|MVC-003,6,2026-05,4
MVC-C068,lapsed,Clonskeagh,18-29,family_with_kids,medium,medium,web,"[{""species"": ""Dog"", ""breed"": ""Border Collie"", ""age_years"": 5.8, ""brachycephalic"": false, ""senior"": false}]",1,MVC-031|MVC-092|MVC-004|MVC-001,1,2024-11,4
MVC-C069,senior_pet,Rathmines,45-59,family_with_kids,high,medium,phone,"[{""species"": ""Dog"", ""breed"": ""Terrier cross"", ""age_years"": 11.5, ""brachycephalic"": false, ""senior"": true}]",1,MVC-042|MVC-001|MVC-017,9,2026-05,3
MVC-C070,time_poor_professional,Milltown,45-59,couple,medium,low,phone,"[{""species"": ""Dog"", ""breed"": ""Terrier cross"", ""age_years"": 6.9, ""brachycephalic"": false, ""senior"": false}]",1,MVC-072|MVC-032|MVC-070,7,2026-04,3
MVC-C071,new_pet,Terenure,18-29,single,medium,high,phone,"[{""species"": ""Dog"", ""breed"": ""Cocker Spaniel"", ""age_years"": 1.0, ""brachycephalic"": false, ""senior"": false}]",1,MVC-010|MVC-008|MVC-034|MVC-026|MVC-019,2,2026-05,4
MVC-C072,multi_pet,Terenure,30-44,single,medium,medium,walk-in,"[{""species"": ""Dog"", ""breed"": ""Golden Retriever"", ""age_years"": 8.7, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Cat"", ""breed"": ""Rescue moggy"", ""age_years"": 10.1, ""brachycephalic"": false, ""senior"": true}]",2,MVC-043|MVC-031|MVC-092|MVC-014|MVC-042,7,2026-05,4
MVC-C073,time_poor_professional,Ranelagh,18-29,couple,medium,medium,phone,"[{""species"": ""Cat"", ""breed"": ""Domestic longhair"", ""age_years"": 10.4, ""brachycephalic"": false, ""senior"": true}]",1,MVC-015|MVC-076|MVC-093,2,2026-03,4
MVC-C074,new_pet,Rathmines,30-44,single,high,low,web,"[{""species"": ""Dog"", ""breed"": ""Springer Spaniel"", ""age_years"": 1.2, ""brachycephalic"": false, ""senior"": false}]",1,MVC-080|MVC-026|MVC-037,4,2026-05,3
MVC-C075,senior_pet,Portobello,30-44,single,low,high,web,"[{""species"": ""Small mammal"", ""breed"": ""Hamster"", ""age_years"": 11.2, ""brachycephalic"": false, ""senior"": true}]",1,MVC-013|MVC-083,10,2026-07,4
MVC-C076,lapsed,Rathmines,30-44,couple,medium,medium,web,"[{""species"": ""Cat"", ""breed"": ""Rescue moggy"", ""age_years"": 8.1, ""brachycephalic"": false, ""senior"": false}]",1,MVC-002|MVC-093|MVC-029|MVC-024|MVC-005,3,2025-04,4
MVC-C077,anxious_first_timer,Donnybrook,18-29,single,high,medium,web,"[{""species"": ""Dog"", ""breed"": ""Golden Retriever"", ""age_years"": 10.4, ""brachycephalic"": false, ""senior"": true}]",1,MVC-080|MVC-001|MVC-014|MVC-008,7,2026-04,4
MVC-C078,anxious_first_timer,Harold's Cross,45-59,family_with_kids,low,medium,walk-in,"[{""species"": ""Cat"", ""breed"": ""Ragdoll"", ""age_years"": 10.7, ""brachycephalic"": false, ""senior"": true}]",1,MVC-002|MVC-081|MVC-009|MVC-029,2,2026-05,3
MVC-C079,time_poor_professional,Rathgar,60+,shared_house,high,medium,phone,"[{""species"": ""Cat"", ""breed"": ""Domestic shorthair"", ""age_years"": 9.5, ""brachycephalic"": false, ""senior"": true}]",1,MVC-002|MVC-048|MVC-078|MVC-005|MVC-015|MVC-027,8,2026-04,3
MVC-C080,senior_pet,Ranelagh,60+,shared_house,low,low,web,"[{""species"": ""Dog"", ""breed"": ""Labrador"", ""age_years"": 13.3, ""brachycephalic"": false, ""senior"": true}]",1,MVC-004|MVC-023|MVC-090|MVC-010|MVC-045,6,2026-06,4
MVC-C081,new_pet,Rathgar,60+,single,high,high,phone,"[{""species"": ""Dog"", ""breed"": ""Labrador"", ""age_years"": 0.2, ""brachycephalic"": false, ""senior"": false}]",1,MVC-082|MVC-037|MVC-023|MVC-014|MVC-010,3,2026-07,4
MVC-C082,lapsed,Clonskeagh,30-44,single,high,medium,web,"[{""species"": ""Dog"", ""breed"": ""Golden Retriever"", ""age_years"": 3.2, ""brachycephalic"": false, ""senior"": false}]",1,MVC-031|MVC-004,3,2025-04,3
MVC-C083,time_poor_professional,Rathmines,30-44,shared_house,medium,medium,web,"[{""species"": ""Cat"", ""breed"": ""Ragdoll"", ""age_years"": 6.9, ""brachycephalic"": false, ""senior"": false}]",1,MVC-076|MVC-009|MVC-011|MVC-002|MVC-040,5,2026-03,4
MVC-C084,time_poor_professional,Harold's Cross,45-59,couple,high,low,walk-in,"[{""species"": ""Dog"", ""breed"": ""Golden Retriever"", ""age_years"": 1.9, ""brachycephalic"": false, ""senior"": false}]",1,MVC-014|MVC-028|MVC-042|MVC-074,5,2026-04,4
MVC-C085,new_pet,Harold's Cross,18-29,single,medium,medium,walk-in,"[{""species"": ""Dog"", ""breed"": ""Springer Spaniel"", ""age_years"": 0.5, ""brachycephalic"": false, ""senior"": false}]",1,MVC-037|MVC-010|MVC-004|MVC-026,6,2026-05,5
MVC-C086,time_poor_professional,Terenure,45-59,family_with_kids,high,medium,web,"[{""species"": ""Cat"", ""breed"": ""British Shorthair"", ""age_years"": 6.5, ""brachycephalic"": false, ""senior"": false}]",1,MVC-078|MVC-015|MVC-005,3,2026-06,3
MVC-C087,time_poor_professional,Clonskeagh,18-29,couple,medium,high,phone,"[{""species"": ""Dog"", ""breed"": ""Rescue crossbreed"", ""age_years"": 4.8, ""brachycephalic"": false, ""senior"": false}]",1,MVC-010|MVC-004,5,2026-06,5
MVC-C088,multi_pet,Terenure,60+,family_with_kids,medium,medium,walk-in,"[{""species"": ""Cat"", ""breed"": ""Domestic longhair"", ""age_years"": 9.2, ""brachycephalic"": false, ""senior"": true}, {""species"": ""Rabbit"", ""breed"": ""Netherland Dwarf"", ""age_years"": 3.8, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Rabbit"", ""breed"": ""Netherland Dwarf"", ""age_years"": 10.4, ""brachycephalic"": false, ""senior"": true}]",3,MVC-012|MVC-005|MVC-044|MVC-024,3,2026-06,4
MVC-C089,senior_pet,Donnybrook,30-44,single,high,low,web,"[{""species"": ""Dog"", ""breed"": ""Cavapoo"", ""age_years"": 10.0, ""brachycephalic"": false, ""senior"": true}]",1,MVC-060|MVC-019|MVC-001|MVC-017|MVC-023|MVC-067,11,2026-07,5
MVC-C090,budget_stretched,Rathmines,18-29,family_with_kids,medium,high,walk-in,"[{""species"": ""Rabbit"", ""breed"": ""Netherland Dwarf"", ""age_years"": 5.3, ""brachycephalic"": false, ""senior"": false}]",1,MVC-030|MVC-094|MVC-006|MVC-087,3,2026-04,4
MVC-C091,budget_stretched,Portobello,30-44,single,low,high,phone,"[{""species"": ""Dog"", ""breed"": ""Beagle"", ""age_years"": 2.0, ""brachycephalic"": false, ""senior"": false}]",1,MVC-088|MVC-032|MVC-017|MVC-010|MVC-004,3,2026-06,3
